"entryNumber","postingDate","lineNumber","accountMainID","accountMainDescription","srcd_mapToStructure","srcd_taxonomyPrefix","srcd_mapToConcept","srcd_cashFlowConcept","debitCreditCode","amount","debitAmount","creditAmount","Neto","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9","entryComment","enteredBy","enteredDate","sourceJournalID"
"JE-207","2024-01-20","2","000-1200-00","Cuentas por Cobrar (Receivables)","http://xbrlsite.com/mini","mini","Receivables","CollectionOfReceivables","C","8000","0.00","8000","-8000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:Receivables","Collection of accounts receivable.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-208","2024-01-21","1","000-2150-00","Cuentas por Pagar (Accounts Payable)","http://xbrlsite.com/mini","mini","AccountsPayable","DecreaseFromPaymentAccountsPayable","D","7000","7000","0.00","7000.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccountsPayable","Payment of accounts payable.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-208","2024-01-21","2","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","PaymentOfAccountsPayable","C","7000","0.00","7000","-7000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Payment of accounts payable.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-209","2024-01-25","1","000-2300-00","Deuda a Largo Plazo (Long-term Debt)","http://xbrlsite.com/mini","mini","LongtermDebt","RepaymentLongtermBorrowings","D","1000","1000","0.00","1000.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:NoncurrentLiabilities","","","","","","mini:LongtermDebt","Payment of long term debt including accrued interest.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-209","2024-01-25","2","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","PaymentForReductionOfLongtermBorrowings","C","1000","0.00","1000","-1000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Payment of long term debt including accrued interest.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-209","2024-01-25","3","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","PaymentOfInterest","C","150","0.00","150","-150.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Payment of long term debt including accrued interest.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-209","2024-01-25","4","000-2160-00","Gastos Acumulados por Pagar (Accrued Expenses)","http://xbrlsite.com/mini","mini","AccruedExpenses","DecreaseFromPaymentOfInterest","D","150","150","0.00","150.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccruedExpenses","Payment of long term debt including accrued interest.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-210","2024-01-24","1","000-5400-00","Gasto por Intereses (Interest Expense)","http://xbrlsite.com/mini","mini","InterestExpense","NetIncomeLoss","D","150","150","0.00","150.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:NonoperatingIncomeExpenses","","mini:InterestExpense","Accrual of interest on debt.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-210","2024-01-24","2","000-2160-00","Gastos Acumulados por Pagar (Accrued Expenses)","http://xbrlsite.com/mini","mini","AccruedExpenses","InterestAccrued","C","150","0.00","150","-150.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccruedExpenses","Accrual of interest on debt.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-223","2024-01-28","1","000-5100-00","Costo de Ventas (Cost of Sales)","http://xbrlsite.com/mini","mini","CostsOfSales","NetIncomeLoss","D","300","300","0.00","300.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:CostsOfSales","Closing entry. Inventory write offs, adjust to physical.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-223","2024-01-28","2","000-1300-00","Inventarios (Inventories)","http://xbrlsite.com/mini","mini","Inventories","InventoryWrittenOff","C","300","0.00","300","-300.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:Inventories","Closing entry. Inventory write offs, adjust to physical.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-224","2024-01-28","1","000-5200-00","Depreciacion y Amortizacion","http://xbrlsite.com/mini","mini","DepreciationAndAmortization","NetIncomeLoss","D","100","100","0.00","100.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:OperatingExpenses","mini:DepreciationAndAmortization","Closing entry. Depreciation and amortization expensed.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-224","2024-01-28","2","000-1500-00","Propiedades, Planta y Equipo (PPE)","http://xbrlsite.com/mini","mini","PropertyPlantAndEquipment","DecreaseFromDepreciationAndAmortization","C","100","0.00","100","-100.00","mini:Assets","","mini:NoncurrentAssets","","","","","","mini:PropertyPlantAndEquipment","Closing entry. Depreciation and amortization expensed.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-225","2024-01-28","1","000-1500-00","Propiedades, Planta y Equipo (PPE)","http://xbrlsite.com/mini","mini","PropertyPlantAndEquipment","PropertyPlantAndEquipmentWrittenOff","D","0","0","0.00","0.00","mini:Assets","","mini:NoncurrentAssets","","","","","","mini:PropertyPlantAndEquipment","Closing entry. Write of of PPE.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-225","2024-01-28","2","000-5500-00","Ingresos/Gastos No Operacionales","http://xbrlsite.com/mini","mini","NonoperatingIncomeExpenses","NetIncomeLoss","C","0","0.00","0","0.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","","","mini:NonoperatingIncomeExpenses","Closing entry. Write of of PPE.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-226","2024-01-29","1","000-6100-00","Impuesto a la Renta","http://xbrlsite.com/mini","mini","IncomeTaxExpenseBenefit","NetIncomeLoss","D","400","400","0.00","400.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","","","","mini:IncomeTaxExpenseBenefit","Closing entry.  Book taxes.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-226","2024-01-29","2","000-2160-00","Gastos Acumulados por Pagar (Accrued Expenses)","http://xbrlsite.com/mini","mini","AccruedExpenses","InterestAccrued","C","400","0.00","400","-400.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccruedExpenses","Closing entry.  Book taxes.","Charles Hoffman, CPA","2024-01-31","gj"
